"lat","lon","Name","Phonetic","PostalCode","Address","都道府県"
"37.0454936","138.3139761","谷乃井酒造","たにのいしゅぞう","〒944-0132","新潟県上越市板倉区曽根田782-1","新潟県"
"37.0521928","138.313712","加茂乃井酒造","かものいしゅぞう","〒944-0105","新潟県上越市板倉区田屋6","新潟県"
"37.219261","138.3133301","竹田酒造店","たけだしゅぞうてん","〒949-3114","新潟県上越市大潟区上小船津浜171","新潟県"
"36.6550895","138.3065513","松葉屋","まつばや","〒382-0077","長野県須坂市北横町1640-10","長野県"
"36.6917424","138.3053163","高沢酒造","たかさわしゅぞう","〒381-0204","長野県上高井郡小布施町大字飯田776","長野県"
"38.0074404","138.2901614","加藤酒造店","かとうしゅぞうてん","〒952-1431","新潟県佐渡市沢根炭屋町50","新潟県"
"36.3591699","138.2898319","信州銘醸","しんしゅうめいじょう","〒386-0407","長野県上田市長瀬2999-1","長野県"
"34.9178528","138.2816966","初亀醸造","はつかめじょぞう","〒421-1121","静岡県藤枝市岡部町岡部744","静岡県"
"36.9549359","138.2735511","鮎正宗酒造","あゆまさむねしゅぞう","〒944-0341","新潟県妙高市猿橋636","新潟県"
"34.8146126","138.2704358","多々良酒造場","たたらしゅぞうじょう","〒421-0206","静岡県焼津市上新田1059-3","静岡県"
"34.8290497","138.2695885","岩本酒造","いわもとしゅぞう","〒426-0044","静岡県藤枝市大東町540","静岡県"
"36.340683","138.2665013","山三酒造","やまさんしゅぞう","〒386-0412","長野県上田市御嶽堂687-1","長野県"
"34.8546492","138.2620305","杉井酒造","すぎいしゅぞう","〒426-0033","静岡県藤枝市小石川町4-6-4","静岡県"
"36.4056056","138.25283","岡崎酒造","おかざきしゅぞう","〒386-0012","長野県上田市中央4-7-33","長野県"
"37.100613","138.2511309","妙高酒造","みょうこうしゅぞう","〒943-0841","新潟県上越市南本町2-7-47","新潟県"
"36.659111","138.250134","今井酒造店","いまいしゅぞうてん","〒381-0017","長野県長野市小島62","長野県"
"37.0287819","138.2500091","君の井酒造","きみのいしゅぞう","〒944-0048","新潟県妙高市下町3-11","新潟県"
"37.1169912","138.2493052","武蔵野酒造","むさしのしゅぞう","〒943-0834","新潟県上越市西城町4-7-46","新潟県"
"36.4076859","138.2454664","和田龍酒造","わだりゅうしゅぞう","〒386-0023","長野県上田市中央西1-14-14","長野県"
"34.8441575","138.227339","青島酒造","あおしましゅぞう","〒426-0036","静岡県藤枝市上青島246","静岡県"
"36.7962827","138.2156097","高橋助作酒造店","たかはしすけさくしゅぞうてん","〒389-1313","長野県上水内郡信濃町古間856-1","長野県"
"37.0105633","138.2079002","千代の光酒造","ちよのひかりしゅぞう","〒944-0061","新潟県妙高市大字窪松原656","新潟県"
"36.4197034","138.2067222","沓掛酒造","くつかけしゅぞう","〒386-0043","長野県上田市下塩尻35","長野県"
"34.8984697","138.2054075","志太泉酒造","しだいずみしゅぞう","〒426-0133","静岡県藤枝市宮原423-22-1","静岡県"
"36.6227117","138.1990596","雲山銘醸","うんざんめいじょう","〒380-0918","長野県長野市ア－クス11番5号","長野県"
